"norm_tgf_control_1"	"norm_tgf_control_2"	"norm_tgf_control_3"	"norm_tgf_control_4"	"tgf_control_median averaged"	"norm_tgf_6h_1"	"norm_tgf_6h_2"	"norm_tgf_6h_3"	"norm_tgf_6h_4"	"tgf_6h_median averaged"	"norm_tgf_12h_1"	"norm_tgf_12h_2"	"norm_tgf_12h_3"	"norm_tgf_12h_4"	"tgf_12h_median averaged"	"norm_tgf_24h_1"	"norm_tgf_24h_2"	"norm_tgf_24h_3"	"norm_tgf_24h_4"	"tgf_24h_median averaged"	"norm_tgf_36h_1"	"norm_tgf_36h_2"	"norm_tgf_36h_3"	"norm_tgf_36h_4"	"tgf_36h_median averaged"	"norm_tgf_48h_1"	"norm_tgf_48h_2"	"norm_tgf_48h_3"	"norm_tgf_48h_4"	"tgf_48h_median averaged"	"ANOVA Significant"	"  -Log 10 ANOVA p value"	"PEP"	"Intensity"	"Peptides"	"Unique peptides"	"Protein IDs"	"Majority protein IDs"	"Protein names"	"Gene names"
-0.36	0.36	-0.13	0.13	0.00	-0.57	-0.13	-0.51	-0.14	-0.32	0.05	0.04	-0.39	-0.30	-0.13	-0.69	"NaN"	1.02	0.28	0.28	0.42	0.39	1.29	0.57	0.49	0.84	0.75	0.93	0.74	0.80	"+"	2.41	1.49E-74	5492600000	8	8	"Q9BUK6;Q9BUK6-2;Q9BUK6-7;Q9BUK6-3;Q9BUK6-5;Q9BUK6-6;B4DF47;Q9BUK6-4;B4DHK3"	"Q9BUK6;Q9BUK6-2;Q9BUK6-7;Q9BUK6-3;Q9BUK6-5;Q9BUK6-6;B4DF47"	"Protein misato homolog 1"	"MSTO1"
0.20	-0.20	-0.05	0.05	0.00	0.24	0.34	0.10	-0.15	0.17	-0.04	-0.01	-0.27	0.01	-0.02	0.32	0.53	0.11	0.58	0.43	0.53	0.29	0.52	0.51	0.51	-0.26	0.13	-0.48	-0.45	-0.35	"+"	3.45	0	39772000000	33	33	"Q9BUJ2-2;Q9BUJ2;Q9BUJ2-4;B7Z4B8;Q9BUJ2-3;Q9BUJ2-5;E9PE99"	"Q9BUJ2-2;Q9BUJ2;Q9BUJ2-4;B7Z4B8;Q9BUJ2-3"	"Heterogeneous nuclear ribonucleoprotein U-like protein 1"	"HNRNPUL1"
0.06	-0.06	-0.18	0.18	0.00	-0.37	-0.04	-0.10	-0.08	-0.09	-0.09	-0.06	0.03	0.15	-0.01	-0.20	-0.17	-0.81	-0.53	-0.37	-0.23	-0.16	-0.03	-0.05	-0.10	-0.98	-1.23	-0.21	-0.83	-0.91	"+"	3.07	2.21E-132	31797000000	14	14	"Q9BUH6;Q9BUH6-2"	"Q9BUH6"	"Uncharacterized protein C9orf142"	"C9orf142"
0.98	-0.98	-0.10	0.10	0.00	"NaN"	"NaN"	"NaN"	-0.64	-0.64	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	6.13E-05	352170000	1	1	"Q9BUF7-2"	"Q9BUF7-2"		
-0.26	0.26	-0.04	0.04	0.00	0.03	-0.23	0.03	-0.21	-0.09	0.02	-0.02	0.84	0.87	0.43	-0.13	-0.06	0.11	0.36	0.03	0.26	0.89	0.04	0.24	0.25	2.75	3.03	0.65	0.50	1.70	"+"	2.24	0	22290000000	25	9	"Q9BUF5;B4DP54;B3KS31"	"Q9BUF5;B4DP54;B3KS31"	"Tubulin beta-6 chain"	"TUBB6"
0.01	-0.01	0.17	-0.17	0.00	-0.38	-0.35	-0.42	-0.13	-0.37	0.27	-0.12	-0.62	-0.06	-0.09	"NaN"	-0.67	"NaN"	2.60	0.97	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	-0.38	-0.51	-0.45		0.47	3.22E-23	2438600000	4	4	"Q9BUE6;Q5TBE9"	"Q9BUE6;Q5TBE9"	"Iron-sulfur cluster assembly 1 homolog, mitochondrial"	"ISCA1"
0.91	-0.91	0.12	-0.12	0.00	"NaN"	1.63	"NaN"	"NaN"	1.63	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	8.76E-56	1616700000	7	7	"Q9BUB5-2;Q9BUB5;Q9BUB5-3;E9PJH1;E9PIA0;Q7Z319;E9PN34;E9PSE0;E9PLE7;E9PMF1;E9PMM8;B4E1V9;E9PPI6"	"Q9BUB5-2;Q9BUB5;Q9BUB5-3;E9PJH1;E9PIA0;Q7Z319"	"MAP kinase-interacting serine/threonine-protein kinase 1"	"MKNK1;DKFZp686E14208"
0.57	-0.57	0.04	-0.04	0.00	-0.19	"NaN"	"NaN"	"NaN"	-0.19	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	2.27E-42	912980000	6	6	"Q9BUB4-2;F5H6D7;Q9BUB4;H3BP27"	"Q9BUB4-2;F5H6D7;Q9BUB4"	"tRNA-specific adenosine deaminase 1"	"ADAT1"
-0.98	0.98	0.00	0.00	0.00	0.37	"NaN"	-0.70	-0.44	-0.44	-0.25	0.23	0.16	"NaN"	0.16	2.24	"NaN"	1.64	"NaN"	1.94	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.57	0.35	0.12	0.25	0.30	"+"	2.18	5.92E-34	1835100000	6	6	"Q9BUA3"	"Q9BUA3"	"Uncharacterized protein C11orf84"	"C11orf84"
0.07	-0.07	-0.07	0.07	0.00	-0.36	0.10	-0.06	-0.11	-0.08	0.06	0.41	-0.21	-1.13	-0.08	0.39	0.35	0.15	-0.64	0.25	-1.37	-1.28	-1.21	-0.85	-1.25	-0.87	-0.66	-0.02	-1.10	-0.76	"+"	2.59	4.83E-294	21494000000	18	18	"Q9BU89"	"Q9BU89"	"Deoxyhypusine hydroxylase"	"DOHH"
0.14	-0.14	-0.67	0.67	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	1.65	"NaN"	"NaN"	1.65	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	1.10	1.32	-1.52	"NaN"	1.10		0.14	2.17E-56	3675200000	13	13	"Q9BU76;Q9BU76-4;Q9BU76-3;Q9BU76-2"	"Q9BU76;Q9BU76-4;Q9BU76-3"	"Multiple myeloma tumor-associated protein 2"	"MMTAG2"
-0.85	0.85	0.14	-0.14	0.00	-0.46	-0.62	-0.09	0.06	-0.27	0.79	-0.33	-0.15	0.15	0.00	-0.64	-0.53	0.94	1.28	0.21	0.31	0.22	0.27	"NaN"	0.27	"NaN"	0.29	"NaN"	"NaN"	0.29		0.13	1.64E-89	4411100000	7	7	"Q9BU61;Q9BU61-2"	"Q9BU61;Q9BU61-2"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3"	"NDUFAF3"
0.40	-0.40	-0.36	0.36	0.00	"NaN"	"NaN"	"NaN"	1.14	1.14	"NaN"	1.15	1.58	1.20	1.20	"NaN"	0.00	"NaN"	"NaN"	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"+"	2.23	5.56E-22	1158900000	8	8	"Q9BU02;G3V5Q5;G3V4J3;G3V5B9;H0YJU8"	"Q9BU02;G3V5Q5;G3V4J3;G3V5B9"	"Thiamine-triphosphatase"	"THTPA"
0.35	-0.35	-0.05	0.05	0.00	-0.65	-0.51	-0.11	0.11	-0.31	0.13	0.16	-0.20	-0.59	-0.04	-0.35	-0.48	-0.18	-0.24	-0.29	-0.10	0.39	0.00	0.19	0.10	-0.26	-0.71	-0.38	-1.24	-0.54		1.42	4.34E-100	31686000000	13	9	"Q9BTZ2;E2QRL8;Q9BTZ2-4;E2QRI3;Q9BTZ2-5;Q9BTZ2-2;Q6PKH6;Q6PKH6-2;H0YN69;D3YTE6;F5GWZ1;Q9BTZ2-3;H7BYG2;Q9BTZ2-7;F8WBA2;H0YKN3;H0YLE1;E9PFL3;F5H660;F6TD35;H0YNP7;Q9BTZ2-6;Q6E0Y0"	"Q9BTZ2;E2QRL8;Q9BTZ2-4;E2QRI3;Q9BTZ2-5"	"Dehydrogenase/reductase SDR family member 4"	"DHRS4"
0.08	-0.08	0.14	-0.14	0.00	-0.61	0.01	-0.50	-0.52	-0.51	-0.37	-0.35	-0.09	-0.48	-0.36	-0.62	-0.32	-1.17	-0.96	-0.79	1.34	0.68	-0.24	-1.27	0.22	-0.10	-0.13	-0.22	-0.39	-0.18		0.65	7.87E-265	15527000000	14	14	"Q9BTY7;P0CB43;E9PSG3;E9PIX0;E9PPP0"	"Q9BTY7;P0CB43"	"Protein FAM203A;Protein FAM203B"	"FAM203A;FAM203B"
-0.21	0.21	-0.03	0.03	0.00	-1.17	-0.50	0.27	0.41	-0.11	-0.11	-1.09	0.59	-0.32	-0.22	-0.23	-1.01	-0.40	-0.34	-0.37	-0.29	0.49	0.68	0.04	0.26	0.32	0.78	-0.07	-0.65	0.13		0.34	1.31E-108	9368200000	24	24	"Q9BTW9;Q9BTW9-4;F8WC00;Q9BTW9-5;I3L2E6;A6NE57;I3L201;I3L1I1;I3L439;I3L163;I3L0V3;I3L500;C9J1U4;I3L4D2;I3L3H4;I3L131;I3L143;I3L120;I3L1S3;Q9BTW9-3;Q9BTW9-2;I3L1B8"	"Q9BTW9;Q9BTW9-4;F8WC00;Q9BTW9-5"	"Tubulin-specific chaperone D"	"TBCD"
-0.51	0.51	0.02	-0.02	0.00	-0.15	0.73	0.22	0.40	0.31	1.11	1.38	0.46	-0.60	0.79	-1.16	-1.04	-0.23	-0.24	-0.64	-0.43	-0.15	0.12	0.91	-0.02	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		1.11	4.69E-87	8923900000	16	16	"Q9BTV4"	"Q9BTV4"	"Transmembrane protein 43"	"TMEM43"
-0.73	0.73	0.10	-0.10	0.00	-0.48	0.28	-0.13	0.18	0.03	-0.02	0.45	-0.10	-0.17	-0.06	-0.15	-0.33	0.35	0.06	-0.05	-0.02	0.79	1.26	1.37	1.02	-0.18	0.14	0.54	0.05	0.09		1.15	1.57E-76	8260200000	15	15	"Q9BTU6;E9PAM4"	"Q9BTU6;E9PAM4"	"Phosphatidylinositol 4-kinase type 2-alpha"	"PI4K2A"
-0.55	0.55	1.61	-1.61	0.00	0.25	-0.44	-0.16	"NaN"	-0.16	0.22	0.35	0.59	0.29	0.32	0.19	0.13	-0.02	0.29	0.16	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-0.05	0.76	-0.05	0.11	0.03		0.05	5.33E-164	3976100000	15	14	"Q9BTT6;Q5T0G3;Q9BTT6-2"	"Q9BTT6"	"Leucine-rich repeat-containing protein 1"	"LRRC1"
-0.02	0.02	-0.89	0.89	0.00	-0.44	-0.52	"NaN"	"NaN"	-0.48	1.08	"NaN"	3.07	3.18	3.07	"NaN"	"NaN"	2.11	2.01	2.06	"NaN"	"NaN"	"NaN"	0.47	0.47	-0.08	-0.01	0.34	0.18	0.08	"+"	2.89	2.03E-57	6227000000	10	10	"Q9BTT4"	"Q9BTT4"	"Mediator of RNA polymerase II transcription subunit 10"	"MED10"
-0.32	0.32	-0.09	0.09	0.00	0.48	0.56	-0.47	-0.47	0.00	0.73	-0.40	-0.09	0.34	0.12	0.34	0.34	0.21	-0.61	0.27	-1.91	-2.22	-1.33	-0.34	-1.62	0.03	0.00	0.63	-0.30	0.01	"+"	2.50	0	31888000000	16	8	"Q9BTT0;Q5TB20;E9PPH5;E9PLC4;E9PEA6;Q5TB25;E9PI45"	"Q9BTT0;Q5TB20;E9PPH5"	"Acidic leucine-rich nuclear phosphoprotein 32 family member E"	"ANP32E"
0.50	-0.50	0.57	-0.57	0.00	0.42	"NaN"	"NaN"	"NaN"	0.42	0.07	"NaN"	1.59	"NaN"	0.83	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.46	0.41	-1.00	-1.19	-0.30		0.49	5.95E-24	1340400000	4	4	"Q9BTL3"	"Q9BTL3"	"RNMT-activating mini protein"	"FAM103A1"
0.46	-0.46	0.19	-0.19	0.00	1.24	1.26	-0.04	-0.48	0.60	"NaN"	1.57	-0.17	0.09	0.09	"NaN"	1.54	1.97	1.47	1.54	0.48	"NaN"	"NaN"	"NaN"	0.48	0.30	0.46	"NaN"	-0.58	0.30		1.25	1.21E-30	5598600000	10	9	"Q9BTE7;E9PM04;H0YCN4;E9PQV9;E9PLH8;E9PM78;H0YD80;E9PLS2;H0Y9C5;H0Y907"	"Q9BTE7;E9PM04;H0YCN4"	"DCN1-like protein 5"	"DCUN1D5"
-0.22	0.22	-0.06	0.06	0.00	-0.26	-0.28	0.02	0.28	-0.12	-0.33	-0.12	-0.63	-0.42	-0.37	-0.89	-0.63	-0.66	-0.35	-0.65	-1.20	-1.10	-0.97	-1.12	-1.11	-0.18	-0.70	-1.24	-0.99	-0.84	"+"	4.12	6.31E-166	26336000000	21	21	"Q9BTE3-2;Q9BTE3;Q9BTE3-3"	"Q9BTE3-2;Q9BTE3"	"Mini-chromosome maintenance complex-binding protein"	"MCMBP"
0.12	-0.12	-0.41	0.41	0.00	-0.68	-0.60	0.53	0.53	-0.04	-0.51	-0.22	0.51	-0.30	-0.26	0.58	0.88	0.91	0.40	0.73	0.96	0.46	-0.14	-0.42	0.16	-0.66	-0.89	-0.71	-0.12	-0.69		1.55	4.23E-136	14357000000	11	11	"Q9BTE1;H3BN51;H3BR94;H3BUD2;H3BS05;H3BQA4;I3L0U8"	"Q9BTE1;H3BN51;H3BR94"	"Dynactin subunit 5"	"DCTN5"
0.35	-0.35	-0.16	0.16	0.00	0.12	-0.59	0.68	0.25	0.19	0.32	0.24	0.11	0.59	0.28	-0.14	0.40	-0.52	-0.30	-0.22	-1.42	-1.90	-1.27	"NaN"	-1.42	-0.54	-0.64	-0.06	-1.49	-0.59	"+"	3.56	6.98E-143	11226000000	10	10	"Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8"	"Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8"	"RNA-binding protein 42"	"RBM42"
0.10	-0.10	-0.02	0.02	0.00	0.10	0.00	-0.02	-0.08	-0.01	-0.08	-0.11	0.04	-0.11	-0.09	-0.11	-0.04	-0.19	-0.05	-0.08	0.08	0.36	-0.16	-0.18	-0.04	-0.04	-0.22	-0.51	-0.50	-0.36		1.31	0	81056000000	79	79	"Q9BTC0;Q9BTC0-1;Q9BTC0-2;Q9BTC0-3"	"Q9BTC0;Q9BTC0-1"	"Death-inducer obliterator 1"	"DIDO1"
-0.30	0.30	0.06	-0.06	0.00	-0.21	0.06	0.43	0.25	0.15	0.25	0.36	-0.68	-0.63	-0.19	1.39	1.13	1.33	0.77	1.23	-1.52	0.09	-0.15	-0.41	-0.28	0.37	-0.05	-0.41	-0.84	-0.23	"+"	2.76	1.80E-110	6967400000	12	1	"Q9BTA9-5;Q9NZE0;C9JVK6;C9JD58"	"Q9BTA9-5"		
-0.33	0.33	-0.40	0.40	0.00	"NaN"	"NaN"	"NaN"	0.17	0.17	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-1.31	"NaN"	"NaN"	0.77	-0.27	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.56	"NaN"	"NaN"	"NaN"	0.56		0.14	1.17E-28	1892000000	3	1	"Q9BT81"	"Q9BT81"	"Transcription factor SOX-7"	"SOX7"
-0.51	0.51	-0.09	0.09	0.00	0.70	0.36	-0.07	-0.36	0.14	-0.31	-0.07	-0.76	-0.08	-0.20	-0.11	-0.33	-0.08	-0.51	-0.22	-0.63	-0.78	-0.75	-0.69	-0.72	-0.27	0.77	-1.12	-0.33	-0.30		0.80	0	18085000000	22	22	"Q9BT78;D6RFN0;D6RAX7;D6RD63;B3KST5"	"Q9BT78;D6RFN0;D6RAX7;D6RD63;B3KST5"	"COP9 signalosome complex subunit 4"	"COPS4"
-0.04	0.04	-0.02	0.02	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-0.78	-0.92	-0.59	"NaN"	-0.78	0.04	"NaN"	"NaN"	"NaN"	0.04	"NaN"	"NaN"	"NaN"	-0.49	-0.49	"+"	3.58	8.55E-30	1251200000	4	4	"Q9BT73"	"Q9BT73"	"Proteasome assembly chaperone 3"	"PSMG3"
0.26	-0.26	-0.27	0.27	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	2.47	0.89	3.15	2.31	2.39	"+"	2.35	9.87E-57	972100000	6	5	"Q9BT23"	"Q9BT23"	"LIM domain-containing protein 2"	"LIMD2"
0.03	-0.03	-0.09	0.09	0.00	-0.11	-0.28	0.01	-0.03	-0.07	-0.01	-0.02	0.05	0.04	0.01	-0.19	-0.22	-0.13	-0.16	-0.17	-0.50	0.64	-0.16	0.03	-0.07	-0.03	-0.52	0.07	-1.20	-0.28		0.43	2.80E-247	20839000000	16	15	"Q9BT09"	"Q9BT09"	"Protein canopy homolog 3"	"CNPY3"
0.45	-0.45	1.22	-1.22	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	1.74	1.82	0.42	0.35	1.08	1.92	"NaN"	0.87	0.18	0.87	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-0.97	-1.14	-1.28	-0.94	-1.06	"+"	2.00	4.34E-51	4540600000	5	5	"Q9BSY4;Q8N8C4;F8WC14"	"Q9BSY4;Q8N8C4"	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 5"	"CHCHD5"
0.52	-0.52	0.22	-0.22	0.00	-0.16	-0.18	0.10	0.85	-0.03	-0.65	-0.07	-0.49	-1.11	-0.57	-0.74	-0.20	-0.88	-1.53	-0.81	-1.07	-0.30	-1.29	-0.89	-0.98	-0.74	-1.47	-0.34	-1.46	-1.10	"+"	1.90	4.46E-97	11837000000	14	14	"Q9BSV6;E7EQB3;B0V3J0;A9C4B9"	"Q9BSV6;E7EQB3;B0V3J0;A9C4B9"	"tRNA-splicing endonuclease subunit Sen34"	"TSEN34"
-0.11	0.11	-0.16	0.16	0.00	-0.58	-0.47	-0.06	-0.27	-0.37	0.07	0.28	0.20	0.15	0.18	-0.04	0.46	0.16	0.97	0.31	0.24	0.10	1.08	1.06	0.65	-0.36	0.41	0.53	0.77	0.47		1.63	0	32022000000	26	26	"Q9BST9;Q9BST9-2;Q9BST9-3;H7BXD4"	"Q9BST9;Q9BST9-2;Q9BST9-3;H7BXD4"	"Rhotekin"	"RTKN"
-0.03	0.03	0.06	-0.06	0.00	-0.38	-0.21	0.38	0.43	0.09	-0.63	-0.18	-0.74	-0.76	-0.68	-0.06	-0.16	-1.98	-2.18	-1.07	-1.27	-0.99	-0.99	-1.11	-1.05	-0.96	-0.36	-0.72	-0.75	-0.73		1.77	2.68E-275	23365000000	25	25	"Q9BSL1"	"Q9BSL1"	"Ubiquitin-associated domain-containing protein 1"	"UBAC1"
-0.06	0.06	-0.02	0.02	0.00	-0.34	0.02	-0.11	0.10	-0.04	0.23	0.01	-0.10	-0.13	-0.04	0.38	-0.07	0.05	-0.35	-0.01	0.03	0.22	0.29	0.27	0.25	-0.19	0.09	0.45	0.84	0.27		0.55	0	120000000000	58	58	"Q9BSJ8;Q9BSJ8-2;B3KY56;F8VZB1"	"Q9BSJ8;Q9BSJ8-2;B3KY56"	"Extended synaptotagmin-1"	"ESYT1"
-0.54	0.54	-0.60	0.60	0.00	-0.71	-0.93	-0.21	0.00	-0.46	-0.64	-0.80	"NaN"	0.82	-0.64	1.31	1.09	0.94	1.22	1.16	"NaN"	0.40	"NaN"	"NaN"	0.40	0.12	-0.28	-0.15	-0.05	-0.10	"+"	2.26	1.68E-74	4201100000	10	10	"Q9BSH5"	"Q9BSH5"	"Haloacid dehalogenase-like hydrolase domain-containing protein 3"	"HDHD3"
-0.11	0.11	0.03	-0.03	0.00	-0.08	-0.01	-0.28	-0.12	-0.10	0.00	0.49	-0.01	0.00	0.00	-0.20	-1.44	-0.36	-0.61	-0.49	0.19	-0.69	-0.05	-0.27	-0.16	-0.66	-0.90	-0.24	-0.84	-0.75	"+"	2.04	0	49281000000	20	20	"Q9BSH4"	"Q9BSH4"	"Translational activator of cytochrome c oxidase 1"	"TACO1"
0.07	-0.07	0.02	-0.02	0.00	-0.51	-0.37	0.18	0.00	-0.18	-0.48	-0.81	-0.32	-0.55	-0.52	-0.57	-0.38	-0.26	-0.61	-0.47	-0.16	0.28	-0.76	-0.63	-0.40	-1.01	-1.24	-0.64	-1.43	-1.12	"+"	2.88	2.91E-258	37742000000	16	16	"Q9BSD7;Q5TDF0"	"Q9BSD7;Q5TDF0"	"Cancer-related nucleoside-triphosphatase"	"NTPCR;C1orf57"
0.06	-0.06	0.06	-0.06	0.00	-0.10	0.46	0.20	-0.56	0.05	0.21	0.06	-0.30	-0.22	-0.08	-0.67	-0.36	-0.99	-0.91	-0.79	-0.47	0.11	-0.26	-0.60	-0.36	-2.33	-0.49	0.00	-0.05	-0.27		0.77	3.84E-112	11455000000	21	21	"Q9BSC4-2;B4DLV0;Q9BSC4;F5H6G7;Q9BSC4-3;H7C1Z3"	"Q9BSC4-2;B4DLV0;Q9BSC4;F5H6G7"	"Nucleolar protein 10"	"NOL10"
-0.03	0.03	-0.04	0.04	0.00	-0.25	-0.13	-0.05	0.30	-0.09	0.28	0.16	-0.07	0.16	0.16	-0.09	-0.17	0.13	0.36	0.02	0.20	0.34	0.43	0.20	0.27	0.65	1.11	0.49	0.71	0.68	"+"	3.82	0	143000000000	30	30	"Q9BS26"	"Q9BS26"	"Endoplasmic reticulum resident protein 44"	"ERP44"
0.13	-0.13	-0.21	0.21	0.00	0.38	-0.04	-0.07	0.03	-0.01	0.05	-0.12	0.57	0.33	0.19	-1.09	-0.92	-0.20	-0.48	-0.70	-0.22	-0.25	0.20	-0.81	-0.23	-0.05	-0.38	-0.26	0.04	-0.16	"+"	2.00	0	27250000000	29	29	"Q9BRZ2;C9JI91;Q9BRZ2-2;Q9BRZ2-3"	"Q9BRZ2;C9JI91;Q9BRZ2-2;Q9BRZ2-3"	"E3 ubiquitin-protein ligase TRIM56"	"TRIM56"
-1.27	1.27	-0.13	0.13	0.00	"NaN"	0.21	-0.19	-0.10	-0.10	0.84	1.50	"NaN"	0.66	0.84	"NaN"	"NaN"	1.37	"NaN"	1.37	"NaN"	"NaN"	"NaN"	0.17	0.17	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.69	1.20E-20	794360000	5	5	"Q9BRX9;G3V221;F8VSE4;H0YIE8"	"Q9BRX9;G3V221;F8VSE4"	"WD repeat domain-containing protein 83"	"WDR83"
0.18	-0.18	-0.01	0.01	0.00	0.05	-0.34	0.36	0.64	0.21	0.03	-0.41	-0.22	-0.60	-0.32	-1.54	-1.35	-1.48	-0.92	-1.41	-1.38	-1.60	-0.21	-1.69	-1.49	0.49	-0.09	-1.06	-1.35	-0.58	"+"	2.72	1.02E-58	25175000000	15	15	"Q9BRX8-2;Q9BRX8"	"Q9BRX8-2;Q9BRX8"	"Redox-regulatory protein FAM213A"	"FAM213A"
-0.16	0.16	-0.06	0.06	0.00	-0.58	-0.30	0.06	-0.17	-0.23	-0.13	0.06	-0.02	-0.15	-0.08	-0.84	-0.60	-1.17	-0.69	-0.77	-0.58	-0.31	-0.90	-0.90	-0.74	-2.04	-2.47	-2.02	-2.51	-2.25	"+"	9.49	4.11E-263	22928000000	16	16	"Q9BRX5;E9PB21;Q9BRX5-2"	"Q9BRX5;E9PB21;Q9BRX5-2"	"DNA replication complex GINS protein PSF3"	"GINS3"
-1.14	1.14	0.17	-0.17	0.00	-0.04	-0.12	0.44	0.14	0.05	0.33	0.57	-0.63	-0.32	0.00	-0.14	0.07	0.71	0.54	0.31	-0.41	-0.25	-0.32	-0.08	-0.28	"NaN"	-0.15	-0.15	0.16	-0.15		0.12	5.50E-70	8343900000	17	17	"Q9BRX2"	"Q9BRX2"	"Protein pelota homolog"	"PELO"
0.25	-0.25	0.12	-0.12	0.00	"NaN"	0.77	"NaN"	"NaN"	0.77	0.41	"NaN"	"NaN"	"NaN"	0.41	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-0.37	"NaN"	"NaN"	"NaN"	-0.37		0.00	1.06E-48	1045300000	11	11	"Q9BRV8;Q9BRV8-2"	"Q9BRV8;Q9BRV8-2"	"Suppressor of IKBKE 1"	"SIKE1"
0.48	-0.48	0.11	-0.11	0.00	0.41	-0.69	-0.29	0.32	0.02	-0.41	-0.67	0.33	-0.40	-0.41	0.02	-0.15	0.19	-0.01	0.01	0.68	1.10	-0.31	-0.22	0.23	"NaN"	-1.73	-0.70	"NaN"	-1.21		1.28	8.03E-51	4959200000	6	6	"Q9BRU9;Q9BRU9-2;E5RGP0;G3XAM4"	"Q9BRU9;Q9BRU9-2;E5RGP0"	"rRNA-processing protein UTP23 homolog"	"UTP23"
0.48	-0.48	0.15	-0.15	0.00	-0.18	-0.81	0.13	0.52	-0.03	-0.14	-0.11	0.15	0.19	0.02	-1.22	-1.53	-1.03	-0.81	-1.13	-2.51	-2.32	-0.94	-2.28	-2.30	-2.92	-2.30	-0.86	-2.25	-2.27	"+"	4.67	4.86E-76	15753000000	13	13	"Q9BRT9;E5RFF9;Q9BRT9-2;E5RH56"	"Q9BRT9;E5RFF9"	"DNA replication complex GINS protein SLD5"	"GINS4"
-0.37	0.37	0.48	-0.48	0.00	-0.05	1.00	-0.48	0.10	0.03	-0.82	0.06	-0.89	0.08	-0.38	"NaN"	"NaN"	2.00	"NaN"	2.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	2.20	1.86	-0.59	-1.10	0.63		0.25	3.77E-144	12666000000	7	7	"Q9BRT6"	"Q9BRT6"	"Protein LLP homolog"	"LLPH"
-0.32	0.32	-0.01	0.01	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	0.82	"NaN"	0.82	"NaN"	1.60	"NaN"	"NaN"	1.60	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	4.81E-17	935140000	3	3	"Q9BRT3"	"Q9BRT3"	"Migration and invasion enhancer 1"	"MIEN1"
0.06	-0.06	0.22	-0.22	0.00	0.01	-0.41	0.25	-0.56	-0.20	-0.14	-0.16	0.04	0.25	-0.05	-0.96	-0.50	0.94	0.74	0.12	-1.14	-0.27	-0.65	-0.82	-0.74	-0.35	-1.02	-0.58	-1.04	-0.80		1.17	8.99E-94	9105300000	11	11	"Q9BRT2;Q5TAQ0"	"Q9BRT2;Q5TAQ0"	"Mitochondrial nucleoid factor 1"	"MNF1"
